episode,total_reward,steps,termination
0,-25,25,max_steps
1,-25,25,max_steps
2,-25,25,max_steps
3,-25,25,max_steps
4,-25,25,max_steps
5,-25,25,max_steps
6,-25,25,max_steps
7,-25,25,max_steps
8,-25,25,max_steps
9,-25,25,max_steps
10,-25,25,max_steps
11,-25,25,max_steps
12,-25,25,max_steps
13,-25,25,max_steps
14,-25,25,max_steps
15,-25,25,max_steps
16,-25,25,max_steps
17,-25,25,max_steps
18,-25,25,max_steps
19,-25,25,max_steps
20,-25,25,max_steps
21,-25,25,max_steps
22,-25,25,max_steps
23,-25,25,max_steps
24,-25,25,max_steps
25,-25,25,max_steps
26,-25,25,max_steps
27,-25,25,max_steps
28,-25,25,max_steps
29,-25,25,max_steps
