episode,total_reward,steps,termination
0,-35,35,max_steps
1,-35,35,max_steps
2,-35,35,max_steps
3,-35,35,max_steps
4,-35,35,max_steps
5,-2,13,goal
6,-13,24,goal
7,-15,26,goal
8,-35,35,max_steps
9,-14,25,goal
10,-9,20,goal
11,-17,28,goal
12,-16,27,goal
13,-8,19,goal
14,-35,35,max_steps
15,-1,12,goal
16,-17,28,goal
17,-19,30,goal
18,-24,35,goal
19,-22,33,goal
20,-17,28,goal
21,-5,16,goal
22,-12,23,goal
23,2,9,goal
24,-3,14,goal
25,-18,29,goal
26,-5,16,goal
27,-2,13,goal
28,1,10,goal
29,-4,15,goal
30,-15,26,goal
31,2,9,goal
32,-2,13,goal
33,2,9,goal
34,-3,14,goal
35,0,11,goal
36,-2,13,goal
37,1,10,goal
38,-2,13,goal
39,-5,16,goal
40,-2,13,goal
41,-2,13,goal
42,2,9,goal
43,-4,15,goal
44,0,11,goal
45,-4,15,goal
46,0,11,goal
47,0,11,goal
48,0,11,goal
49,2,9,goal
50,0,11,goal
51,-5,16,goal
52,0,11,goal
53,2,9,goal
54,2,9,goal
55,-6,17,goal
56,2,9,goal
57,0,11,goal
58,2,9,goal
59,0,11,goal
60,2,9,goal
61,0,11,goal
62,2,9,goal
63,2,9,goal
64,2,9,goal
65,1,10,goal
66,1,10,goal
67,-3,14,goal
68,-2,13,goal
69,1,10,goal
70,0,11,goal
71,-1,12,goal
72,-2,13,goal
73,-2,13,goal
74,2,9,goal
75,2,9,goal
76,-2,13,goal
77,2,9,goal
78,-2,13,goal
79,0,11,goal
80,2,9,goal
81,0,11,goal
82,-2,13,goal
83,2,9,goal
84,2,9,goal
85,2,9,goal
86,0,11,goal
87,2,9,goal
88,2,9,goal
89,-3,14,goal
90,0,11,goal
91,2,9,goal
92,0,11,goal
93,0,11,goal
94,2,9,goal
95,2,9,goal
96,-2,13,goal
97,2,9,goal
98,-4,15,goal
99,1,10,goal
